Porosity (%),Permeability (md),Rock Type
2.4,6.68712232,LM
2.4,6.72267835,LM
2.3,6.709727973,LM
2.5,6.916572107,LM
2.4,6.91547361,LM
2.7,13.62108684,LM
2.4,10.0072491,LM
2.5,6.81754144,LM
2.4,6.804505403,LM
2.5,3.659248873,LM
2.5,6.89837497,LM
2.6,6.681480793,LM
2.4,3.38071313,LM
2.1,3.386909583,LM
2.2,6.897239907,LM
2.5,13.38592104,LM
2.3,13.58017774,LM
2.4,10.30715619,LM
2.7,10.22817228,LM
2.5,10.2292442,LM
2.7,6.864920107,LM
2.5,13.43404144,LM
2,6.741686847,LM
2.7,16.88862832,LM
2.9,6.91966367,LM
2.6,6.886782893,LM
2.6,13.52844278,LM
2.5,6.99870756,LM
2.4,6.81316112,LM
2.6,6.809745533,LM
2.6,6.75333113,LM
2.5,13.35904639,LM
2.5,3.654588917,LM
2.4,6.898489983,LM
2.5,6.717599303,LM
2.2,6.77281161,LM
2.3,6.841286443,LM
2.4,3.505961133,LM
2.3,6.91398798,LM
2.5,6.820047173,LM
2.3,10.17739758,LM
2.3,10.10391059,LM
2.3,6.793091167,LM
2.6,20.05026633,LM
2.9,13.49718969,LM
2.4,10.1251277,LM
2.6,6.889846137,LM
2.4,6.77347837,LM
2.5,6.773623387,LM
2.4,6.87901079,LM
5.7,46.77075703,DL
5.5,50.10752717,DL
5.9,50.2403105,DL
5,43.48135967,DL
5.6,50.11679437,DL
5.5,43.40498053,DL
5.7,53.45579923,DL
4.3,33.50920273,DL
5.6,43.39010957,DL
4.9,46.8292171,DL
4.5,33.5318663,DL
5.2,50.3162862,DL
5,33.3588035,DL
5.7,46.76879637,DL
4.6,43.4556438,DL
5.4,46.96151907,DL
5.5,50.28413173,DL
5.1,33.3734936,DL
5.5,50.10254303,DL
4.9,36.85461303,DL
5.8,60.23785103,DL
5,43.6371526,DL
5.9,50.23263633,DL
5.7,40.27473713,DL
5.3,43.60470823,DL
5.4,46.76074023,DL
5.8,46.784587,DL
6,56.67949357,DL
5.5,50.28375803,DL
4.5,33.6529406,DL
4.8,36.9813372,DL
4.7,33.36425417,DL
4.9,40.22805853,DL
6.1,53.5341497,DL
5.5,50.17749927,DL
5.5,53.52912903,DL
5.7,50.1103349,DL
5.4,43.47779817,DL
5.1,43.63683607,DL
5,43.63985553,DL
5.4,40.27153273,DL
5.6,46.76435743,DL
5,40.1142997,DL
4.3,33.46324837,DL
5.2,43.5519046,DL
5.2,40.22751187,DL
5.2,43.3721297,DL
5.3,43.4412626,DL
4,36.81023177,DL
5.1,43.3523356,DL
7,83.35232857,SS
6.1,63.48738137,SS
6.9,70.32866613,SS
6.6,60.06300677,SS
6.8,73.3508212,SS
7.6,70.25404237,SS
5.5,56.92680453,SS
7.3,60.1541983,SS
6.8,60.2277411,SS
7.1,83.42754257,SS
6.1,66.69592763,SS
6.3,63.3555025,SS
6.5,70.22695193,SS
6,66.7778392,SS
6.1,80.17440957,SS
6.3,76.70808003,SS
6.5,60.1297975,SS
7.7,73.3902008,SS
7.9,76.71963583,SS
6,50.17518283,SS
6.7,76.84718477,SS
5.9,66.91028127,SS
7.7,66.99301897,SS
5.9,60.22007653,SS
6.7,70.1644277,SS
7,60.17332637,SS
5.8,60.22280153,SS
5.9,60.25111243,SS
6.6,70.00966217,SS
6.8,53.58374243,SS
7.1,63.62109237,SS
7.4,66.78749467,SS
6.6,73.4951728,SS
6.1,50.24816223,SS
6.6,46.6786449,SS
7.1,76.89652377,SS
6.6,80.07429787,SS
6.5,60.23213227,SS
5.8,60.05007983,SS
6.4,70.0632925,SS
6.6,80.01897657,SS
6.1,76.70465553,SS
6.1,63.6169375,SS
6.9,76.80678183,SS
6.7,83.4376144,SS
6.2,76.8430339,SS
6,63.55434743,SS
6.2,66.88095293,SS
6.4,76.73443447,SS
6.1,60.23906283,SS
